g1freelunch,g1absent,g1readscore,g1mathscore,g1listeningscore,g1wordscore
1,9,516,578,601,493
0,12,451,507,584,436
1,4,483,526,529,486
1,15,516,505,556,536
1,2,433,463,504,426
1,11,444,542,543,410
1,22,471,444,496,460
0,4,487,484,531,481
1,11,503,505,541,506
0,2,524,515,565,551
1,5,457,497,568,460
1,0,430,486,556,416
1,9,503,538,565,475
1,24,590,578,580,551
1,6,478,572,551,493
1,10,527,481,556,499
1,20,471,523,538,465
1,2,564,520,606,577
1,18,558,512,577,551
1,34,444,497,534,436
1,4,482,520,538,481
1,10,448,518,568,460
1,9,514,612,568,506
0,7,629,592,685,577
1,2,507,468,543,486
1,4,540,553,596,536
0,7,530,507,574,524
1,0,501,557,592,486
1,20,521,518,565,506
0,7,571,601,606,514
0,10,548,502,548,577
0,9,451,529,571,426
0,0,509,553,611,514
0,7,509,523,538,524
0,0,505,520,580,499
0,5,487,505,554,524
0,5,507,523,571,499
1,2,629,601,568,577
0,6,516,518,592,493
1,6,462,479,548,451
0,0,524,529,574,577
1,1,540,553,554,524
1,6,468,532,546,446
0,2,571,601,592,551
0,8,571,592,625,536
1,19,451,486,562,431
1,2,558,538,543,551
0,14,564,584,611,577
0,6,524,562,606,481
0,1,494,557,592,536
0,0,579,512,592,577
0,13,558,502,531,551
1,11,516,507,548,536
1,31,472,507,592,465
1,13,521,545,588,514
1,6,548,532,625,601
1,13,651,538,571,601
1,5,457,465,543,441
1,15,579,572,588,551
1,7,501,557,543,506
0,1,553,567,634,524
1,1,482,495,580,470
1,0,505,518,565,499
1,3,494,518,574,524
1,5,512,562,584,506
1,1,460,481,541,441
0,6,530,567,596,486
0,1,629,549,618,601
0,2,450,486,568,465
0,11,604,584,634,577
0,8,651,592,592,601
0,2,495,526,625,506
1,7,507,515,541,486
0,3,509,526,625,524
0,20,468,518,580,446
0,5,629,520,588,601
0,0,548,592,606,536
0,3,558,572,571,601
0,6,540,512,551,514
0,4,456,484,559,465
0,1,590,510,574,601
1,1,519,523,574,524
